i,x,y,z,dx,dy,dz,radius,rmse,bend
100,-17.112907741478413,-99.79052041515925,-2.2090214146185648e-09,0.9895286040187631,0.14433690390429552,-9.802118827304477e-10,1.9999999976799299,1.6953663046644688e-08,1
101,-15.148129297907996,-99.4025604146347,-2.9198444983045117e-09,0.9701012950363562,0.2427003860087259,7.315055379946368e-10,2.0000000039333257,1.7633570148020178e-08,1
102,-13.228514360453667,-98.81872110120295,7.200080429318695e-10,0.9505473348084917,0.3105797229190487,1.2868294110571898e-09,2.000458619007497,0.00031897762752401557,1
103,-12.460497473726816,-98.52440956754324,7.186104747415416e-10,0.9159743483408778,0.40123682929350385,-3.41282465322588e-10,2.0003630640551666,0.0002525179187327848,1
104,-10.757672912274648,-97.73638447228966,-2.006016470481754e-10,0.8887732417242763,0.45834716623419974,2.0086455017755468e-10,2.0000094290255137,6.560215633892933e-06,1
105,-9.278693937142052,-96.8835291201546,1.437704509221624e-09,0.842228309298314,0.5391210207518378,-1.9699820598919708e-10,2.000006870192486,4.779434774031064e-06,1
106,-7.7628578609975065,-95.81936538188097,-9.010924591684267e-10,0.7890244026974294,0.6143618574976517,-3.550607863452718e-10,2.000005258387672,3.6590546673560277e-06,1
107,-6.25952439275816,-94.53269864767894,7.907895990547602e-11,0.7264477320547381,0.6872217201111497,-6.209249227011931e-10,2.0000000364855097,2.9420944618753996e-08,1
108,-4.883551641927847,-93.09553311524422,-3.362154573647131e-09,0.655296152709085,0.7553720621287707,-8.859017173105534e-10,2.0000002419236567,1.7520906018021973e-07,1
109,-3.673052677223435,-91.55122459915273,-3.417599183395973e-09,0.5781057262983892,0.815961867504243,8.636342042445132e-10,2.0000002267502737,1.6577363795920101e-07,1
110,-2.63292821287476,-89.91891193216483,5.978573991168431e-14,0.49688396511600924,0.8678169883164264,-2.2106448170799477e-10,2.000000603163265,4.291376963452248e-07,1
111,-1.7732194692005976,-88.23313094220612,-4.262838057959273e-09,0.4089987278165513,0.9125349531083413,-3.206440208712583e-14,2.0000044415027807,3.0924921053315114e-06,1
112,-1.0392695514901562,-86.3632303788237,-6.51528201201857e-14,0.3181993800702797,0.9480238153774883,1.0628095543104459e-09,1.9999999925816705,3.293752040226515e-08,1
113,-0.49694899093437317,-84.430688561607,9.680430522077488e-17,0.22178689399408774,0.9750951613316802,1.4963299320866014e-14,2.0000000268221783,4.24891345006275e-08,1
114,-0.15233771276812227,-82.46379823116975,-5.314177984922126e-15,0.12324056132218504,0.9923768256287492,1.397711028086809e-10,1.9999999931101085,3.297484099649229e-08,1
115,-0.00564674506928798,-80.47454816476753,5.572018490538959e-10,0.03810830195323735,0.9992736148434227,1.3239834162961742e-15,2.0001083263149937,7.534443554279079e-05,1
116,4.821961503826006e-17,-78.46920783715066,-2.156207070530547e-17,0.001407185024268527,0.9999990099146637,-1.388562993028241e-10,2.0000009520061,7.124161186084083e-07,1
117,3.304315030268766e-16,-76.46175710947324,-1.8437141237164328e-17,1.159950486571103e-16,1.0,1.2401005120835695e-16,1.9999999999999993,3.6950455776800505e-16,1
118,5.139617089382601e-16,-74.45401840198117,4.763617767613168e-16,-6.533078571054318e-17,1.0,-3.867927250742619e-15,1.9999999999999996,4.408750116822797e-16,1
119,6.809720850302143e-17,-72.44627969448909,-1.5550011659395876e-14,-1.802252449599766e-16,1.0,-2.029723720514897e-15,1.9999999999999998,1.1177343218045974e-14,1
120,-2.0972869180851391e-16,-70.43854098699701,-7.673947981623876e-15,7.704653466983854e-17,1.0,3.867197226157863e-15,1.9999999999999993,5.4472339960572985e-15,1
121,3.7747582837255336e-16,-68.43080227950492,-2.1368538469523914e-17,1.3026154751901972e-16,1.0,1.8318218588972895e-15,1.9999999999999993,3.6950455776800505e-16,1
122,3.1333361029499774e-16,-66.42306357201284,-3.1830867894748056e-16,1.1126525243300956e-16,1.0,5.5055979740199845e-17,1.9999999999999998,4.515000301113234e-16,1
123,8.242589365898116e-16,-64.41532486452078,1.9970750473707256e-16,1.9706622747927653e-16,1.0,7.672345599402601e-17,1.9999999999999991,7.364386412590295e-16,1
124,1.1046485959941554e-15,-62.40758615702872,-1.0227374203941183e-17,-2.793631738285072e-16,1.0,1.5420302040367316e-16,1.9999999999999998,8.239390089993159e-16,1
125,-2.975175784968553e-16,-60.399847449536615,8.18906250490365e-16,-3.03188080735662e-16,1.0,-5.892348008236818e-17,1.9999999999999993,6.802185396739569e-16,1
126,-1.127962946922941e-16,-58.39210874204454,-2.4683327768696054e-16,3.948163874975485e-16,1.0,-2.1457997442981943e-16,1.9999999999999998,3.4563986450482363e-16,0
127,1.287858708565183e-15,-56.38437003455246,-4.2734790540452286e-17,8.081312980566352e-19,1.0,7.606115629218817e-17,1.9999999999999993,9.46072787572594e-16,0
128,-1.0955126171660585e-16,-54.376631327060366,5.85885775619026e-17,-4.394884852514995e-16,1.0,-2.2143846029122059e-16,1.9999999999999993,2.424568164457103e-16,0
129,-4.768973781078129e-16,-52.3688926195683,-9.319159266487157e-16,1.2128746840208084e-16,1.0,-8.053039268025937e-17,2.0,8.741904837807691e-16,0
130,3.7747582837255316e-16,-50.36115391207622,-2.647793954654836e-16,1.6971597749346638e-15,1.0,3.472949272563433e-16,1.9999999999999993,4.108171399920238e-16,0
131,6.3380093677619684e-15,-48.35341520458412,4.626390100877057e-16,-6.375611580192345e-17,1.0,-2.8851377229096834e-17,1.9999999999999996,4.343425268877673e-15,0
132,1.2146458530281562e-16,-46.34567649709207,-3.8063144912010984e-16,-1.5452166613248046e-15,1.0,-2.7374292886316592e-18,1.999999999999999,7.241042880252553e-16,0
133,1.3322676295501856e-16,-44.33793778959998,4.516469246040892e-16,-1.1016900028593292e-16,1.0,1.2782731445827718e-16,1.9999999999999996,3.7586482788852004e-16,0
134,-3.209165471767356e-16,-42.330199082107875,1.326562451051851e-16,1.203120533846157e-16,1.0,-1.1088361580355508e-16,1.9999999999999993,3.0482570822327486e-16,0
135,6.163370960713117e-16,-40.322460374615815,6.396269653132877e-18,7.578257427308914e-17,1.0,-4.505162769145001e-16,1.9999999999999996,4.618806972100062e-16,0
136,-1.661333173378796e-17,-38.314721667123735,-1.6763816899277308e-15,-2.313248794893397e-16,1.0,1.18577343365416e-16,1.9999999999999998,1.1635971728204218e-15,0
137,-3.12542733042068e-16,-36.30698295963164,4.825409138657844e-16,-8.147023371652564e-17,1.0,1.117399476702072e-16,1.9999999999999993,4.3979839222009747e-16,0
