i,x,y,z,dx,dy,dz,nx,ny,nz,bx,by,bz,qx,qy,qz,qw,o,a,t,radius,rmse,bend
30,4.440892098500729e-17,53.656172183630616,9.808255689755192e-16,5.362776149045e-17,1.0,-7.884419764476348e-19,-1.130109295770635e-31,7.884419764476348e-19,1.0,1.0,-5.362776149045e-17,1.130532119553255e-31,3.897355513303521e-17,3.953106780115346e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999998,7.195067539997724e-16,1
31,-3.108624468950437e-16,55.657435228053835,-4.2014290042694023e-16,3.0928980044167327e-17,1.0,-5.916608008162655e-18,-1.128523206322054e-31,5.916608008162655e-18,1.0,1.0,-3.0928980044167327e-17,1.1303531528321901e-31,3.7160474644997115e-17,4.134414828919156e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999993,4.3979839222009747e-16,1
32,8.215650382226167e-16,57.658698272477054,4.5312561494050956e-17,-5.721884597342686e-18,1.0,-6.746418960370773e-18,-1.1285706871471155e-31,6.746418960370773e-18,1.0,1.0,5.721884597342686e-18,1.1281846648397499e-31,3.6867092169292494e-17,4.1637530764896166e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999993,6.158409296133417e-16,1
33,-2.785306403669776e-16,59.65996131690028,-1.4338066849605113e-16,-1.3355598959115805e-17,1.0,-1.0456258107842223e-17,-1.12906615838568e-31,1.0456258107842223e-17,1.0,1.0,1.3355598959115805e-17,1.1276696624866666e-31,3.555546596014831e-17,4.294915697404036e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999996,2.6127917847709276e-16,1
34,8.663844558129812e-16,61.66122436132352,1.9102663972234846e-16,0.00043622463381211545,0.9999999048540299,4.152270190155284e-12,-9.056635953562375e-16,-4.152270190154289e-12,1.0,0.9999999048540299,-0.00043622463381211545,-9.056590340030216e-16,1.4680884993739503e-12,-1.4680099963655654e-12,0.7069525356649441,0.7072609930689703,0.0,2.3791812964191195e-10,89.97500616877028,1.9999999999999996,6.451650219279249e-16,1
35,1.6237011735142913e-16,63.657550788565004,1.6436504934879439e-16,0.009598820050863205,0.9999539302656053,5.4925955806376945e-11,-2.5567002898250223e-13,-5.492603210348671e-11,1.0,0.9999539302656054,-0.009598820050863207,-2.7156684793713007e-13,1.9422344718241403e-11,-1.9416645775548187e-11,0.7037049026222344,0.710492371546262,0.0,3.1470506201003445e-09,89.45001967693827,1.9999999999999991,4.710277376051325e-16,1
36,2.284139179566166e-16,65.63874725362382,-1.1367854143554637e-17,0.03366924569918941,0.9994330302194534,-6.393684704661837e-07,1.3835055556200109e-08,6.392650985739189e-07,0.9999999999997956,0.9994330302196578,-0.03366924569919137,7.696362173014254e-09,-2.2497933024134758e-07,2.2714999387624737e-07,0.6951009834192106,0.718912110657168,88.76019107709908,3.663576887902309e-05,-0.6896614192954758,1.9999999999999993,2.4049357104613274e-16,1
37,2.7208367633414326e-16,67.31557023452484,-1.939601497804447e-16,0.06754776874490691,0.9977160412347659,-6.417071183537972e-07,1.3985281935496806e-08,6.422292689317201e-07,0.9999999999997937,0.9977160412349719,-0.06754776874490194,2.9427814010774495e-08,-2.298311799839444e-07,2.2436830034880498e-07,0.6828075245832431,0.7305983057552219,88.7525155693055,3.6805750141866156e-05,-2.625666789032664,1.9999999999999996,2.482534153247273e-16,1
38,-4.230180528199932e-19,69.20521812884702,-4.870508929331873e-18,0.11867647934200298,0.9929329752055708,6.327481646635929e-07,-1.0454065098171183e-07,-6.247568201956467e-07,0.9999999999997994,0.992932975205767,-0.11867647934204531,2.965791974347418e-08,1.98926160781727e-07,-2.4645656935283787e-07,0.6638235912717609,0.7478891894331418,-99.49930545182143,3.629360131185422e-05,-177.3164191506596,2.000007412812307,5.547239992591156e-06,1
39,0.01248700407173132,70.49612252931558,1.188602892198475e-10,0.17906732288354626,0.9838368227886742,6.376863646329802e-07,-1.051825576888717e-07,-6.2901854380621e-07,0.9999999999997967,0.9838368227888753,-0.17906732288357693,-9.154193314078734e-09,2.0778966936199057e-07,-2.418788499031439e-07,0.6406764694899981,0.7678109542340028,-99.49299582123186,3.6540501810122805e-05,179.1775570985244,2.0005799854635504,0.00040805482624985064,1
40,0.24927693118760674,72.21886193469335,1.3813292603051162e-09,0.2580706222409195,0.9661260548891993,6.453443481789004e-07,-1.0747880677575613e-07,-6.392615358119748e-07,0.99999999999979,0.9661260548894088,-0.2580706222409346,-6.113654674722234e-08,2.2077375509113092e-07,-2.372987575505241e-07,0.6090687062060273,0.7931174636334841,-99.54385908703905,3.714105847052451e-05,174.58824864979533,2.0000086446402974,6.08293661471309e-06,1
41,0.7310759832446534,73.74557428437762,-1.9105028593517203e-05,0.354194429898097,0.9351718055142236,6.550502437897205e-07,-1.133600607344961e-07,-6.575248933712147e-07,0.9999999999997775,0.9351718055144462,-0.35419442989809247,-1.2688052208114366e-07,2.38317030255634e-07,-2.3345741643890828e-07,0.5682453563830477,0.8228591707874391,-99.7818738803344,3.8229188845662065e-05,169.03779294744254,2.009650457590105,0.006791911117716458,1
42,0.7506439472757793,73.8012368705462,-6.40300502777278e-11,0.46648886151968116,0.8845270725521227,6.65991450532062e-07,-1.2633985550287193e-07,-6.863049577694323e-07,0.9999999999997566,0.8845270725523645,-0.4664888615196518,-2.0840259587056186e-07,2.61214166317061e-07,-2.3132492918774128e-07,0.5164838518677094,0.8562969290846327,-100.43063274410699,3.9983105665442054e-05,162.62401150671894,2.0000018287092827,1.286974729845644e-06,1
43,1.4874111036284323,75.24745924198149,-1.3174088403436457e-13,0.5860023982898653,0.8103093169883167,6.736492415472798e-07,-1.4934245186531727e-07,-7.233462509921783e-07,0.9999999999997272,0.8103093169885829,-0.586002398289806,-3.0286905770705353e-07,2.8809888384580487e-07,-2.3104604483095702e-07,0.45497120881987024,0.890506147729958,-101.66541050192755,4.231877937854733e-05,155.79157404023783,2.000000292271728,2.1656003060666882e-07,1
44,2.43841823891407,76.54379207774915,1.8011367753803336e-10,0.6995260019264675,0.7146071456599854,6.784505095077157e-07,-1.8623036217337037e-07,-7.671033408331949e-07,0.9999999999996885,0.7146071456602833,-0.6995260019263759,-4.0352718552954374e-07,3.174760328763282e-07,-2.3450221619358208e-07,0.38760417830141014,0.9218259059947995,-103.6457524486087,4.522845088672511e-05,149.25676501939222,2.0002131792350064,0.00014998390608576375,1
45,3.895826283342696,77.92079937165894,2.375483187704951e-10,0.796690651903727,0.6043872973245887,1.3760778528946677e-06,-7.609486838041492e-07,-1.2737480640902652e-06,0.9999999999988993,0.6043872973256763,-0.7966906519038973,-5.548754571340908e-07,4.823281998452321e-07,-5.636743432199161e-07,0.31883330134698723,0.9478108070451776,-120.85447905239157,8.501189785192764e-05,158.03924418654896,2.000000090827417,6.736546649271015e-08,1
